# microns, n, k
4.188790204786387306e-01 4.415158034069508020e+00 1.948000000000001730e+00
4.195783176747632792e-01 4.424292817183507864e+00 1.948999999999999400e+00
4.202799536574970407e-01 4.435701731059632280e+00 1.949999999999999512e+00
4.209839401795363867e-01 4.448629772726709675e+00 1.950999999999999401e+00
4.216902890724550934e-01 4.462527251305850484e+00 1.951999999999999513e+00
4.223990122473667563e-01 4.478328891466320627e+00 1.955749999999997879e+00
4.231101216955946431e-01 4.497110186906542850e+00 1.959499999999997799e+00
4.238236294893477640e-01 4.518848698642429440e+00 1.963249999999998163e+00
4.245395477824041031e-01 4.544479565073285876e+00 1.966999999999998083e+00
4.252578888108007327e-01 4.572507194649261031e+00 1.965250000000001052e+00
4.259786648935309228e-01 4.601678655916590088e+00 1.963500000000000911e+00
4.267018884332482997e-01 4.633882807694746475e+00 1.961750000000000993e+00
4.274275719169782772e-01 4.672310418245013253e+00 1.960000000000000853e+00
4.281557279168368146e-01 4.712023699863659765e+00 1.941250000000010356e+00
4.288863690907563364e-01 4.748264113465328506e+00 1.922500000000010756e+00
4.296195081832192009e-01 4.784968905436853603e+00 1.903750000000009601e+00
4.303551580259986631e-01 4.826634581562498028e+00 1.885000000000010001e+00
4.310933315389077203e-01 4.866711451728297000e+00 1.844000000000022732e+00
4.318340417305553958e-01 4.898516645148012216e+00 1.803000000000020142e+00
4.325773016991105724e-01 4.926076122735906893e+00 1.762000000000021105e+00
4.333231246330745412e-01 4.951724566805809857e+00 1.721000000000021846e+00
4.340715238120608221e-01 4.973801532041558282e+00 1.673000000000026688e+00
4.348225126075834224e-01 4.990328250064955284e+00 1.625000000000027756e+00
4.355761044838530882e-01 5.002411299132144329e+00 1.577000000000024382e+00
4.363323129985819948e-01 5.009882465869984536e+00 1.529000000000025450e+00
4.370911518037968735e-01 5.014198400725263127e+00 1.485000000000024301e+00
4.378526346466606878e-01 5.016619846585163245e+00 1.441000000000021375e+00
4.386167753703023586e-01 5.016224567720105831e+00 1.397000000000022446e+00
4.393835879146559820e-01 5.011678786967174837e+00 1.353000000000023517e+00
4.401530863173085950e-01 5.005141852782191592e+00 1.316250000000020348e+00
4.409252847143564913e-01 4.998713789978276090e+00 1.279500000000021176e+00
4.417001973412710836e-01 4.990831713188486063e+00 1.242750000000018673e+00
4.424778385337732600e-01 4.979913205627093831e+00 1.206000000000019501e+00
4.432582227287181764e-01 4.967992697066824448e+00 1.176500000000016311e+00
4.440413644649880420e-01 4.957120099503899979e+00 1.147000000000014452e+00
4.448272783843951195e-01 4.945767345107646484e+00 1.117500000000015037e+00
4.456159792325943836e-01 4.932621361558108930e+00 1.088000000000015843e+00
4.464074818600057282e-01 4.919050037798537112e+00 1.063750000000013518e+00
