wl	n
0.9500	3.368844735286
1.041	3.2988050172477
1.131	3.2545396601635
1.222	3.2237062625908
1.312	3.2015809388635
1.403	3.1847050947013
1.493	3.1717333894043
1.584	3.1612897417689
1.674	3.152901326893
1.765	3.1458961074522
1.855	3.1400914995406
1.946	3.1351117528466
2.036	3.1308866155389
2.127	3.1271847339019
2.217	3.1239836166974
2.308	3.121130090147
2.398	3.1186231040899
2.489	3.1163552869688
2.579	3.1143354062363
2.670	3.112484610963
2.760	3.1108160675775
2.851	3.10926956119
2.941	3.1078600487943
3.032	3.1065399722881
3.122	3.1053248117315
3.213	3.1041758777622
3.303	3.1031085702337
3.394	3.1020905736736
3.484	3.1011369414853
3.575	3.1002200337259
3.665	3.0993544638304
3.756	3.0985160778171
3.846	3.0977190434823
3.937	3.096941838663
4.027	3.0961982229953
4.118	3.09546867929
4.208	3.0947666158822
4.299	3.0940740515066
4.389	3.0934041068237
4.480	3.0927399793554
4.570	3.0920945659113
4.661	3.0914519665615
4.751	3.0908249150225
4.842	3.0901981971552
4.932	3.089584439819
5.023	3.0889689423177
5.113	3.0883642758973
5.204	3.0877561145712
5.294	3.08715702027
5.385	3.0865529287467
5.475	3.0859564342755
5.566	3.0853536413469
5.656	3.0847572140211
5.747	3.0841533481583
5.837	3.0835548112868
5.928	3.0829478256224
6.018	3.0823452925327
6.109	3.081733405418
6.199	3.081125226965
6.290	3.0805068744881
6.380	3.0798915969639
6.471	3.0792653947336
6.561	3.0786417258675
6.652	3.0780064380325
6.742	3.0773732193316
6.833	3.0767277332927
6.923	3.0760839173902
7.014	3.0754272230218
7.104	3.0747718550042
7.195	3.0741030274722
7.285	3.0734352293908
7.376	3.0727534148555
7.466	3.0720723727984
7.557	3.0713767764457
7.647	3.0706817296822
7.738	3.0699716056422
7.828	3.0692618374518
7.919	3.0685364802561
8.009	3.0678113101335
8.100	3.0670700474324
8.190	3.0663288244213
8.281	3.0655710107358
8.371	3.0648131076918
8.462	3.0640381190196
8.552	3.0632629276417
8.643	3.0624701567693
8.733	3.0616770832664
8.824	3.0608659356679
8.914	3.0600543969546
9.005	3.0592242871766
9.095	3.058393707508
9.186	3.057544055961
9.276	3.0566938639331
9.367	3.0558240940196
9.457	3.0549537198755
9.548	3.0540632553998
9.638	3.0531721285877
9.729	3.0522603913992
9.819	3.0513479383427
9.910	3.0504143461726
10.00	3.0494799882138
